iter	Passed	Remaining
1082	74758	63299
1083	74837	63239
1084	74900	63164
1085	74966	63092
1086	75030	63020
1087	75104	62955
1088	75164	62879
1089	75222	62800
1090	75294	62733
1091	75357	62660
1092	75423	62588
1093	75486	62514
1094	75546	62437
1095	75609	62363
1096	75680	62296
1097	75748	62226
1098	75812	62153
1099	75875	62079
1100	75942	62009
1101	76004	61934
1102	76064	61858
1103	76136	61791
1104	76198	61717
1105	76279	61658
1106	76341	61583
1107	76406	61511
1108	76465	61434
1109	76538	61368
1110	76603	61296
1111	76664	61221
1112	76741	61159
1113	76805	61085
1114	76866	61010
1115	76940	60945
1116	77002	60871
1117	77070	60801
1118	77142	60735
1119	77206	60662
1120	77273	60591
1121	77354	60531
1122	77416	60457
1123	77479	60384
1124	77552	60318
1125	77614	60244
1126	77677	60170
1127	77746	60101
1128	77812	60030
1129	77880	59961
1130	77951	59893
1131	78012	59818
1132	78074	59744
1133	78149	59679
1134	78214	59608
1135	78277	59535
1136	78341	59462
1137	78411	59394
1138	78474	59320
1139	78537	59247
1140	78608	59180
1141	78672	59107
1142	78743	59040
1143	78813	58972
1144	78885	58906
1145	78953	58836
1146	79020	58766
1147	79080	58690
1148	79145	58618
1149	79217	58551
1150	79282	58480
1151	79349	58410
1152	79416	58340
1153	79480	58267
1154	79540	58192
1155	79614	58127
1156	79681	58056
1157	79745	57984
1158	79809	57911
1159	79878	57843
1160	79940	57769
1161	80002	57695
1162	80071	57626
1163	80133	57552
1164	80205	57486
1165	80274	57417
1166	80341	57347
1167	80408	57277
1168	80474	57206
1169	80544	57138
1170	80609	57067
1171	80683	57001
1172	80750	56931
1173	80812	56857
1174	80882	56789
1175	80948	56718
1176	81011	56645
1177	81074	56572
1178	81138	56501
1179	81203	56429
1180	81274	56362
1181	81333	56286
1182	81397	56214
1183	81466	56145
1184	81530	56073
1185	81592	56000
1186	81666	55934
1187	81728	55861
1188	81791	55789
1189	81861	55721
1190	81924	55648
1191	81995	55580
1192	82064	55512
1193	82126	55438
1194	82190	55366
1195	82259	55297
1196	82319	55223
1197	82383	55151
1198	82455	55084
1199	82520	55013
1200	82593	54947
1201	82660	54877
1202	82726	54807
1203	82793	54737
1204	82860	54667
1205	82925	54596
1206	82990	54524
1207	83056	54454
1208	83117	54380
1209	83180	54308
1210	83256	54243
1211	83320	54172
1212	83387	54102
1213	83454	54032
1214	83514	53957
1215	83579	53886
1216	83652	53821
1217	83716	53749
1218	83779	53676
1219	83848	53607
1220	83914	53537
1221	84002	53481
1222	84081	53418
1223	84150	53350
1224	84220	53282
1225	84281	53208
1226	84346	53137
1227	84408	53064
1228	84480	52998
1229	84541	52924
1230	84615	52858
1231	84680	52787
1232	84742	52714
1233	84805	52642
1234	84876	52575
1235	84943	52505
1236	85012	52436
1237	85081	52368
1238	85144	52296
1239	85209	52225
1240	85280	52157
1241	85342	52085
1242	85406	52013
1243	85478	51946
1244	85541	51874
1245	85602	51801
1246	85678	51737
1247	85744	51666
1248	85818	51601
1249	85883	51530
1250	85944	51456
1251	86005	51383
1252	86078	51317
1253	86140	51244
1254	86203	51172
1255	86268	51101
1256	86339	51034
1257	86405	50964
1258	86475	50895
1259	86537	50823
1260	86612	50758
1261	86676	50687
1262	86745	50618
1263	86811	50548
1264	86872	50475
1265	86933	50402
1266	87005	50335
1267	87066	50262
1268	87128	50189
1269	87190	50117
1270	87261	50050
1271	87327	49979
1272	87396	49911
1273	87459	49839
1274	87520	49766
1275	87578	49692
1276	87654	49627
1277	87717	49555
1278	87783	49485
1279	87841	49410
1280	87922	49348
1281	87988	49279
1282	88055	49209
1283	88123	49140
1284	88183	49067
1285	88248	48996
1286	88320	48929
1287	88379	48855
1288	88441	48783
1289	88513	48716
1290	88576	48644
1291	88640	48573
1292	88708	48504
1293	88769	48432
1294	88834	48361
1295	88904	48293
1296	88970	48223
1297	89032	48151
1298	89100	48082
1299	89162	48010
1300	89227	47940
1301	89300	47873
1302	89361	47801
1303	89426	47730
1304	89490	47659
1305	89566	47595
1306	89631	47524
1307	89712	47462
1308	89776	47391
1309	89844	47322
1310	89912	47253
1311	89971	47180
1312	90041	47112
1313	90102	47039
1314	90166	46968
1315	90234	46900
1316	90308	46834
1317	90376	46765
1318	90439	46693
1319	90499	46621
1320	90576	46556
1321	90636	46483
1322	90699	46412
1323	90770	46345
1324	90835	46274
1325	90902	46205
1326	90973	46138
1327	91041	46069
1328	91106	45998
1329	91175	45930
1330	91240	45860
1331	91303	45789
1332	91375	45721
1333	91441	45652
1334	91508	45583
1335	91582	45517
1336	91644	45445
1337	91708	45374
1338	91779	45307
1339	91843	45236
1340	91905	45164
1341	91977	45097
1342	92042	45027
1343	92103	44955
1344	92172	44886
1345	92233	44814
1346	92298	44744
1347	92368	44676
1348	92434	44607
1349	92504	44539
1350	92575	44472
1351	92643	44402
1352	92714	44335
1353	92785	44268
1354	92848	44197
1355	92905	44123
1356	92976	44056
1357	93041	43985
1358	93112	43918
1359	93177	43848
1360	93237	43775
1361	93301	43705
1362	93378	43640
1363	93440	43568
1364	93506	43499
1365	93576	43431
1366	93639	43360
1367	93700	43288
1368	93773	43222
1369	93849	43156
1370	93912	43086
1371	93992	43022
1372	94057	42952
1373	94115	42879
1374	94181	42809
1375	94254	42743
1376	94319	42673
1377	94384	42603
1378	94455	42535
1379	94522	42466
1380	94590	42397
1381	94659	42329
1382	94725	42260
1383	94785	42187
1384	94858	42121
1385	94920	42049
1386	94986	41980
1387	95052	41910
1388	95120	41842
1389	95184	41771
1390	95254	41703
1391	95316	41632
1392	95383	41563
1393	95457	41497
1394	95524	41428
1395	95589	41358
1396	95657	41289
1397	95718	41217
1398	95780	41146
1399	95851	41079
1400	95915	41008
1401	95987	40941
1402	96049	40870
1403	96112	40799
1404	96175	40729
1405	96242	40659
1406	96306	40589
1407	96369	40518
